nids_a_excluir ,razon,fecha
59396103282,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59005438128,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59229033527,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59151067807,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59464088137,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58021861139,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59182559810,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58814129702,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59129830837,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59217826634,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59234718021,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59120126803,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59178359895,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59179685446,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57764837899,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58110116175,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57902323849,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58932408133,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59120245428,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59265828215,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59121298209,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59012734645,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57988311151,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59099469154,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58880574100,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58607837980,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59322253941,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59434015404,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59130626716,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59119264075,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59192346711,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59222312087,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58520753584,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59097452299,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58276011310,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58225605189,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59316527115,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59029406734,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59103705457,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59531789641,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59382741046,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59133399399,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59380440370,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58861024343,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58198395769,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58168367891,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58880259766,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59237712551,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
